id,OrderAt,StoreId,UserId
0de19492-4b28-4d8a-b331-9c1c8813f178,2024-2-27 1:6:44,cb4ae59b-8f91-4af9-8f72-63c3433c0509,dc65382c-d420-4799-83e8-89b1363c2ed2
be681ed1-5bb4-4105-bf67-c982866a18ba,2024-3-6 14:12:31,99b2ae2a-a318-4a69-aec0-526716d04a56,eee01833-0254-4c5f-b07c-b1e83a0e8483
9cef5458-a735-45c4-886c-ced68281af95,2024-9-3 11:38:20,c2f508c5-05d7-49c0-af76-608f2dd77aff,33703f36-8ea1-41f8-b39d-66ba30b6af48
23db4a4c-50f8-4a9b-99d5-0783d68f6774,2024-3-10 11:14:6,f7bb6f32-09f5-479b-b55d-c1714a820d6e,62f8fa9d-6bfe-4673-b864-3b5c7b42dca5
efaf48b8-b3d9-4f7c-aab7-17f8e64b3cdb,2024-8-26 19:39:32,40a79ce5-f803-4976-a114-27b1f551bebd,ce17ccbe-f9c1-4ea4-b2c1-cb34e4bc3f62
d5d93f4a-ed15-4bb5-9225-f1983963190a,2024-4-18 3:48:38,0a894965-eecb-49e3-a759-61b5bbb137f8,51b123d8-2b4e-4057-97b0-3101cc441a64
be4186d5-79d1-48fd-8b31-8aae5defccae,2024-6-17 10:58:52,7a848c8c-db27-4bc9-8f7a-244d36e62e1c,f71c0e1c-b9a0-4c85-93e7-cd4f4cf785e4
639eec50-6d06-462b-9895-0e5c909ba583,2024-12-26 13:14:33,0cc22a72-a591-4f38-9fe5-fdde91c0549e,2401be44-95cd-4825-935a-182db299c911
faa706e3-8284-4929-bbf7-548e0a042476,2024-11-11 23:15:53,38f9d374-5a6c-4fe3-a6e3-a11c4614cca3,4f3caabf-cf16-4299-a20e-e5c5e18073f6
e6d8d843-2d21-41ff-8993-76f3e11bbec4,2024-5-19 23:58:45,091365a6-7b38-429a-91be-2b3f722a7141,9a6f9759-a109-4b56-b904-bfca108490d5
a914fbc6-2143-4037-b842-4041d4cd9016,2024-11-26 19:54:53,83ffa4b4-689a-4ff1-9848-347e7d61450f,8654458a-5c55-4a19-938d-488858de3dc7
a26eabc6-4c1f-4a9e-97cd-2aa1c43adbac,2024-10-15 10:21:10,a0411187-8d62-4dcd-9228-6bf15b2f2a2f,1c0a2397-63d5-4ee9-83be-a7803540c339
52e7b67a-d58d-4634-bd2b-83aa12b6bbfa,2024-5-27 3:4:24,cdb9afd7-d216-4ee5-8a6e-c460eac17f7b,b7ab5dad-4a88-4585-8deb-06a413d00022
1f4e63a1-4728-4b47-97b5-555ca8c6bb58,2024-5-25 22:2:22,7a848c8c-db27-4bc9-8f7a-244d36e62e1c,b3925894-7b1f-4056-a2e0-7cdcf9df7e75
def80f0b-8532-4788-b199-5f4c3ee72093,2024-5-14 11:32:18,90cbcb7b-bb1f-4242-a111-85782bb31203,148823a3-db72-449d-9ca6-52d73482576c
af569ac1-d2ef-4323-a471-4617aeb13b91,2024-4-2 18:41:27,dff80f0b-1e32-456e-86e4-51b4c1135cf5,a6f951ab-3012-4f9f-8c09-c030146d127f
